Time (s),Min Depth (m),Throttle
49.722208976745605,0.0,0.0
49.790181398391724,0.0,0.0
49.856762170791626,0.0,0.0
49.92327547073364,0.0,0.0
49.98882460594177,0.0,0.0
50.05757403373718,0.0,0.0
50.12321615219116,0.0,0.0
50.18996047973633,0.0,0.0
50.255438804626465,0.0,0.0
50.32336235046387,0.0,0.0
50.38988399505615,0.0,0.0
50.45893907546997,0.0,0.0
50.52236986160278,0.0,0.0
50.59105348587036,0.0,0.0
50.658244609832764,0.0,0.0
50.72320580482483,0.0,0.0
50.788604736328125,0.0,0.0
50.85768413543701,0.0,0.0
50.92231750488281,0.0,0.0
50.989802837371826,0.0,0.0
51.05673813819885,0.0,0.0
51.12297034263611,1.733,0.06
51.18858599662781,0.0,0.0
51.25913906097412,0.0,0.0
51.32175350189209,0.0,0.0
51.38996458053589,0.0,0.0
51.45529580116272,0.0,0.0
51.52289175987244,0.0,0.0
51.58846426010132,0.0,0.0
51.65639519691467,0.0,0.0
51.72282123565674,0.0,0.0
51.78966164588928,0.0,0.0
51.855345487594604,0.0,0.0
51.92414617538452,0.0,0.0
51.98841643333435,0.0,0.0
52.05647015571594,0.0,0.0
52.12235236167908,0.0,0.0
52.18938136100769,0.0,0.0
52.255183696746826,0.0,0.0
52.32282018661499,0.0,0.0
52.388407707214355,0.0,0.0
52.45640516281128,0.0,0.0
52.52174758911133,0.0,0.0
52.58941674232483,0.0,0.0
52.65617322921753,0.0,0.0
52.72369170188904,0.0,0.0
52.78835701942444,0.0,0.0
52.856220722198486,0.0,0.0
52.921924352645874,0.0,0.0
52.98924684524536,0.0,0.0
53.05507731437683,0.0,0.0
53.12360072135925,0.0,0.0
53.19033122062683,0.0,0.0
53.25638270378113,0.0,0.0
53.322314977645874,0.0,0.0
53.38924431800842,0.0,0.0
53.45576810836792,0.0,0.0
53.52368092536926,0.0,0.0
53.58817744255066,0.0,0.0
53.656227588653564,0.0,0.0
53.72173070907593,0.0,0.0
53.78938889503479,0.0,0.0
53.855260372161865,0.0,0.0
53.92457580566406,1.7900001,0.06
53.98819065093994,0.0,0.0
54.05621075630188,0.0,0.0
54.121620178222656,0.0,0.0
54.18918037414551,0.0,0.0
54.25497579574585,0.0,0.0
54.32254099845886,1.7720001,0.06
54.38817119598389,0.0,0.0
54.457022190093994,0.0,0.0
54.52184295654297,0.0,0.0
54.59026122093201,0.0,0.0
54.65494728088379,0.0,0.0
54.722389221191406,0.0,0.0
54.78889203071594,0.0,0.0
54.85609579086304,0.0,0.0
54.921858072280884,0.0,0.0
54.98985528945923,0.0,0.0
55.05478549003601,0.0,0.0
55.12257242202759,0.0,0.0
55.18895173072815,0.0,0.0
55.25684070587158,0.0,0.0
55.3213095664978,0.0,0.0
55.389689207077026,0.0,0.0
55.45472455024719,0.0,0.0
55.52251195907593,0.0,0.0
55.58795881271362,0.0,0.0
55.65607309341431,0.0,0.0
55.721296072006226,0.0,0.0
55.78985357284546,0.0,0.0
55.85484218597412,1.8220001,0.06
55.92308855056763,0.0,0.0
55.98806285858154,0.0,0.0
56.05575084686279,0.0,0.0
56.12130784988403,0.0,0.0
56.18901777267456,0.0,0.0
56.25457262992859,0.0,0.0
56.32255530357361,0.0,0.0
56.38878297805786,0.0,0.0
56.456526041030884,0.0,0.0
56.52196478843689,0.0,0.0
56.589722871780396,0.0,0.0
56.65500211715698,0.0,0.0
56.72278809547424,0.0,0.0
56.78815817832947,0.0,0.0
56.856499910354614,0.0,0.0
56.9211688041687,0.0,0.0
56.98985981941223,0.0,0.0
57.05618643760681,0.0,0.0
57.12243366241455,0.0,0.0
57.188632011413574,0.0,0.0
57.256417989730835,0.0,0.0
57.32182812690735,0.0,0.0
57.389021158218384,0.0,0.0
57.454498052597046,0.0,0.0
57.52234101295471,0.0,0.0
57.58772110939026,0.0,0.0
57.65548038482666,0.0,0.0
57.72167944908142,0.0,0.0
57.789467096328735,0.0,0.0
57.855224609375,0.0,0.0
57.92237305641174,0.0,0.0
57.987820625305176,0.0,0.0
58.05544185638428,0.0,0.0
58.12152075767517,1.7870001,0.06
58.18881964683533,0.0,0.0
58.254398345947266,0.0,0.0
58.32409954071045,0.0,0.0
58.38758325576782,0.0,0.0
58.455477714538574,0.0,0.0
58.52117085456848,0.0,0.0
58.588709354400635,0.0,0.0
58.65443229675293,0.0,0.0
58.72415471076965,0.0,0.0
58.78782892227173,0.0,0.0
58.855942487716675,0.0,0.0
58.92167067527771,0.0,0.0
58.98959398269653,0.0,0.0
59.05493497848511,1.8190001,0.06
59.12289762496948,0.0,0.0
59.188353061676025,0.0,0.0
59.255189657211304,0.0,0.0
59.320987701416016,0.0,0.0
59.3887996673584,0.0,0.0
59.454365491867065,0.0,0.0
59.52289152145386,0.0,0.0
59.58767580986023,1.784,0.06
59.655386447906494,0.0,0.0
59.721171855926514,0.0,0.0
59.78982710838318,0.0,0.0
59.85411477088928,0.0,0.0
59.92323589324951,0.0,0.0
59.98859357833862,0.0,0.0
60.05512452125549,0.0,0.0
60.120882749557495,0.0,0.0
60.188764810562134,0.0,0.0
60.25424885749817,0.0,0.0
60.32277464866638,0.0,0.0
60.38752818107605,0.0,0.0
60.45532202720642,0.0,0.0
60.52242350578308,0.0,0.0
60.58861303329468,0.0,0.0
60.654258251190186,0.0,0.0
60.722044467926025,0.0,0.0
60.78839612007141,0.0,0.0
60.855321645736694,0.0,0.0
60.92176651954651,0.0,0.0
60.988725900650024,0.0,0.0
61.05503606796265,0.0,0.0
61.12308168411255,0.0,0.0
61.188292264938354,0.0,0.0
61.255600452423096,0.0,0.0
61.321085929870605,0.0,0.0
61.38959097862244,0.0,0.0
61.45437932014465,0.0,0.0
61.52212119102478,0.0,0.0
61.587708950042725,0.0,0.0
61.65505504608154,0.0,0.0
61.721041679382324,0.0,0.0
61.79109001159668,1.8320001,0.06
61.855262756347656,0.0,0.0
61.921924352645874,0.0,0.0
61.98838448524475,0.0,0.0
62.055315256118774,0.0,0.0
62.121333837509155,0.0,0.0
62.188692569732666,0.0,0.0
62.256274461746216,0.0,0.0
62.3224458694458,0.0,0.0
62.38743853569031,0.0,0.0
62.455066204071045,1.815,0.06
62.52089476585388,0.0,0.0
62.58849477767944,0.0,0.0
62.65419626235962,0.0,0.0
62.72201180458069,0.0,0.0
62.788509130477905,0.0,0.0
62.85623598098755,0.0,0.0
62.92155742645264,0.0,0.0
62.990519285202026,0.0,0.0
63.05481028556824,0.0,0.0
63.12295198440552,0.0,0.0
63.188629150390625,0.0,0.0
63.255858182907104,0.0,0.0
63.32343602180481,0.0,0.0
63.388596296310425,0.0,0.0
63.454057693481445,0.0,0.0
63.52309060096741,0.0,0.0
63.58855199813843,0.0,0.0
63.65505886077881,0.0,0.0
63.722904443740845,0.0,0.0
63.788445472717285,0.0,0.0
63.85505986213684,0.0,0.0
63.92222809791565,0.0,0.0
63.9872100353241,0.0,0.0
64.05493187904358,0.0,0.0
